Ngày,L?n cu?i,M?,Cao,Th?p,KL,% Thay ??i
27/11/2022,"1,080.01",971.46,"1,080.01",971.46,1.09M,11.17%
20/11/2022,971.46,969.33,985.28,934.31,622.50K,0.22%
13/11/2022,969.33,954.53,972.88,873.78,960.58K,1.55%
06/11/2022,954.53,997.15,997.15,935.78,3.33M,-4.27%
30/10/2022,997.15,"1,028.24","1,043.53",974.61,3.05M,-2.94%
23/10/2022,"1,027.36","1,019.82","1,044.57",962.45,3.16M,0.74%
16/10/2022,"1,019.82","1,061.85","1,071.74","1,013.69",2.55M,-3.96%
09/10/2022,"1,061.85","1,035.91","1,068.12",998.64,3.10M,2.50%
02/10/2022,"1,035.91","1,132.11","1,132.11","1,022.38",3.01M,-8.50%
25/09/2022,"1,132.11","1,203.28","1,203.28","1,099.44",2.97M,-5.91%
18/09/2022,"1,203.28","1,234.03","1,234.03","1,196.64",2.53M,-2.49%
11/09/2022,"1,234.03","1,248.78","1,257.80","1,228.51",2.55M,-1.18%
04/09/2022,"1,248.78","1,280.51","1,286.92","1,228.54",3.14M,-2.48%
28/08/2022,"1,280.51","1,282.57","1,287.65","1,249.17",1.87M,-0.16%
21/08/2022,"1,282.57","1,269.18","1,295.12","1,253.45",3.08M,1.06%
14/08/2022,"1,269.18","1,262.33","1,283.15","1,262.33",3.17M,0.54%
07/08/2022,"1,262.33","1,252.36","1,268.03","1,245.85",3.43M,0.77%
31/07/2022,"1,252.74","1,206.33","1,257.38","1,206.33",3.74M,3.85%
24/07/2022,"1,206.33","1,191.43","1,217.84","1,178.58",2.58M,0.97%
17/07/2022,"1,194.76","1,179.25","1,202.69","1,168.99",2.71M,1.32%
10/07/2022,"1,179.25","1,171.31","1,189.66","1,144.55",2.77M,0.68%
03/07/2022,"1,171.31","1,206.47","1,208.96","1,142.80",2.50M,-2.30%
26/06/2022,"1,198.90","1,185.48","1,221.74","1,170.95",2.72M,1.13%
19/06/2022,"1,185.48","1,218.37","1,221.60","1,162.06",2.88M,-2.61%
12/06/2022,"1,217.30","1,284.08","1,284.08","1,191.92",3.28M,-5.20%
05/06/2022,"1,284.08","1,287.98","1,316.78","1,260.92",2.91M,-0.30%
29/05/2022,"1,287.98","1,285.45","1,302.66","1,276.37",2.80M,0.20%
22/05/2022,"1,285.45","1,240.71","1,286.99","1,203.28",2.89M,3.61%
15/05/2022,"1,240.71","1,182.77","1,252.96","1,156.54",2.74M,4.90%
08/05/2022,"1,182.77","1,329.26","1,329.26","1,180.60",3.13M,-11.02%
01/05/2022,"1,329.26","1,366.11","1,366.39","1,328.13",1.62M,-2.75%
24/04/2022,"1,366.80","1,379.23","1,382.13","1,261.40",3.09M,-0.90%
17/04/2022,"1,379.23","1,458.56","1,458.56","1,352.43",3.86M,-5.44%
10/04/2022,"1,458.56","1,482.00","1,490.58","1,448.52",2.54M,-1.58%
03/04/2022,"1,482.00","1,516.44","1,530.95","1,482.00",3.99M,-2.27%
27/03/2022,"1,516.44","1,498.50","1,516.87","1,473.80",4.36M,1.20%
20/03/2022,"1,498.50","1,474.78","1,513.90","1,474.38",4.15M,2.00%
13/03/2022,"1,469.10","1,466.54","1,474.86","1,437.27",3.67M,0.17%
06/03/2022,"1,466.54","1,505.33","1,505.33","1,458.88",4.48M,-2.58%
27/02/2022,"1,505.33","1,498.89","1,509.19","1,479.55",4.37M,0.43%
20/02/2022,"1,498.89","1,504.84","1,520.78","1,473.76",4.32M,-0.40%
13/02/2022,"1,504.84","1,501.71","1,507.99","1,470.06",3.43M,0.21%
06/02/2022,"1,501.71","1,478.96","1,512.88","1,478.96",3.42M,1.54%
30/01/2022,"1,478.96","1,478.96","1,478.96","1,478.96",,0.00%
23/01/2022,"1,478.96","1,472.89","1,490.45","1,424.36",3.66M,0.41%
16/01/2022,"1,472.89","1,496.02","1,503.86","1,424.65",3.96M,-1.55%
09/01/2022,"1,496.02","1,528.48","1,536.45","1,464.49",5.54M,-2.12%
02/01/2022,"1,528.48","1,508.55","1,536.24","1,507.19",4.11M,2.02%
26/12/2021,"1,498.28","1,477.03","1,499.77","1,469.91",4.22M,1.44%
19/12/2021,"1,477.03","1,479.79","1,489.24","1,447.14",5.19M,-0.19%
12/12/2021,"1,479.79","1,463.54","1,487.73","1,463.54",4.78M,1.11%
05/12/2021,"1,463.54","1,443.32","1,475.85","1,400.87",4.03M,1.40%
